Day,Hour,Temperature,Sales
Monday,1:00 P.M. to 2:00 P.M.,82,55.49
Monday,2:00 P.M. to 3:00 P.M.,83,61.89
Monday,3:00 P.M. to 4:00 P.M.,87,44.79
Monday,4:00 P.M. to 5:00 P.M.,93,68.62
Monday,5:00 P.M. to 6:00 P.M.,95,58.82
Monday,6:00 P.M. to 7:00 P.M.,96,51.85
Monday,7:00 P.M. to 8:00 P.M.,93,66.2
Monday,8:00 P.M. to 9:00 P.M.,89,52.89
Monday,9:00 P.M. to 10:00 P.M.,86,61.95
Tuesday,1:00 P.M. to 2:00 P.M.,86,59.55
Tuesday,2:00 P.M. to 3:00 P.M.,90,47.07
Tuesday,3:00 P.M. to 4:00 P.M.,92,53.29
Tuesday,4:00 P.M. to 5:00 P.M.,96,47.42
Tuesday,5:00 P.M. to 6:00 P.M.,99,60.52
Tuesday,6:00 P.M. to 7:00 P.M.,100,71.98
Tuesday,7:00 P.M. to 8:00 P.M.,97,55.71
Tuesday,8:00 P.M. to 9:00 P.M.,94,64.95
Tuesday,9:00 P.M. to 10:00 P.M.,93,60.12
Wednesday,1:00 P.M. to 2:00 P.M.,90,48.72
Wednesday,2:00 P.M. to 3:00 P.M.,94,66.41
Wednesday,3:00 P.M. to 4:00 P.M.,96,65.27
Wednesday,4:00 P.M. to 5:00 P.M.,98,54.76
Wednesday,5:00 P.M. to 6:00 P.M.,100,48.08
Wednesday,6:00 P.M. to 7:00 P.M.,103,53.59
Wednesday,7:00 P.M. to 8:00 P.M.,101,62.99
Wednesday,8:00 P.M. to 9:00 P.M.,98,66.35
Wednesday,9:00 P.M. to 10:00 P.M.,95,67.92
Thursday,1:00 P.M. to 2:00 P.M.,88,47.85
Thursday,2:00 P.M. to 3:00 P.M.,90,56.62
Thursday,3:00 P.M. to 4:00 P.M.,92,46.05
Thursday,4:00 P.M. to 5:00 P.M.,95,56.72
Thursday,5:00 P.M. to 6:00 P.M.,99,69.94
Thursday,6:00 P.M. to 7:00 P.M.,99,65.72
Thursday,7:00 P.M. to 8:00 P.M.,97,51.01
Thursday,8:00 P.M. to 9:00 P.M.,94,73.51
Thursday,9:00 P.M. to 10:00 P.M.,92,65.57
Friday,1:00 P.M. to 2:00 P.M.,90,63.26
Friday,2:00 P.M. to 3:00 P.M.,93,44.09
Friday,3:00 P.M. to 4:00 P.M.,96,65.69
Friday,4:00 P.M. to 5:00 P.M.,99,48.62
Friday,5:00 P.M. to 6:00 P.M.,103,68.16
Friday,6:00 P.M. to 7:00 P.M.,105,67.79
Friday,7:00 P.M. to 8:00 P.M.,104,62.79
Friday,8:00 P.M. to 9:00 P.M.,101,70.16
Friday,9:00 P.M. to 10:00 P.M.,99,68.05
Saturday,1:00 P.M. to 2:00 P.M.,88,60.43
Saturday,2:00 P.M. to 3:00 P.M.,90,63.78
Saturday,3:00 P.M. to 4:00 P.M.,92,67.8
Saturday,4:00 P.M. to 5:00 P.M.,95,69.53
Saturday,5:00 P.M. to 6:00 P.M.,97,61.8
Saturday,6:00 P.M. to 7:00 P.M.,99,57.92
Saturday,7:00 P.M. to 8:00 P.M.,98,53.97
Saturday,8:00 P.M. to 9:00 P.M.,95,71.55
Saturday,9:00 P.M. to 10:00 P.M.,92,57.93
